"","feature","Description"
"50","PctKids2Par"," percentage of kids in family housing with two parents (numeric - decimal)"
"51","PctYoungKids2Par"," percent of kids 4 and under in two parent households (numeric - decimal)"
"52","PctTeen2Par"," percent of kids age 12-17 in two parent households (numeric - decimal)"
"53","PctWorkMomYoungKids"," percentage of moms of kids 6 and under in labor force (numeric - decimal)"
"54","PctWorkMom"," percentage of moms of kids under 18 in labor force (numeric - decimal)"
"55","NumKidsBornNeverMar"," number of kids born to never married (numeric - expected to be integer)"
"56","PctKidsBornNeverMar"," percentage of kids born to never married (numeric - decimal)"
"57","NumImmig"," total number of people known to be foreign born (numeric - expected to be integer)"
"58","PctImmigRecent"," percentage of _immigrants_ who immigated within last 3 years (numeric - decimal)"
"59","PctImmigRec5"," percentage of _immigrants_ who immigated within last 5 years (numeric - decimal)"
"60","PctImmigRec8"," percentage of _immigrants_ who immigated within last 8 years (numeric - decimal)"
"61","PctImmigRec10"," percentage of _immigrants_ who immigated within last 10 years (numeric - decimal)"
"62","PctRecentImmig"," percent of _population_ who have immigrated within the last 3 years (numeric - decimal)"
"63","PctRecImmig5"," percent of _population_ who have immigrated within the last 5 years (numeric - decimal)"
"64","PctRecImmig8"," percent of _population_ who have immigrated within the last 8 years (numeric - decimal)"
"65","PctRecImmig10"," percent of _population_ who have immigrated within the last 10 years (numeric - decimal)"
"66","PctSpeakEnglOnly"," percent of people who speak only English (numeric - decimal)"
"67","PctNotSpeakEnglWell"," percent of people who do not speak English well (numeric - decimal)"
"68","PctLargHouseFam"," percent of family households that are large (6 or more) (numeric - decimal)"
"69","PctLargHouseOccup"," percent of all occupied households that are large (6 or more people) (numeric - decimal)"
"70","PersPerOccupHous"," mean persons per household (numeric - decimal)"
"71","PersPerOwnOccHous"," mean persons per owner occupied household (numeric - decimal)"
"72","PersPerRentOccHous"," mean persons per rental household (numeric - decimal)"
"73","PctPersOwnOccup"," percent of people in owner occupied households (numeric - decimal)"
"74","PctPersDenseHous"," percent of persons in dense housing (more than 1 person per room) (numeric - decimal)"
"75","PctHousLess3BR"," percent of housing units with less than 3 bedrooms (numeric - decimal)"
"76","MedNumBR"," median number of bedrooms (numeric - decimal)"
"77","HousVacant"," number of vacant households (numeric - expected to be integer)"
"78","PctHousOccup"," percent of housing occupied (numeric - decimal)"
"79","PctHousOwnOcc"," percent of households owner occupied (numeric - decimal)"
"80","PctVacantBoarded"," percent of vacant housing that is boarded up (numeric - decimal)"
"81","PctVacMore6Mos"," percent of vacant housing that has been vacant more than 6 months (numeric - decimal)"
"82","MedYrHousBuilt"," median year housing units built (numeric - may be integer)"
"83","PctHousNoPhone"," percent of occupied housing units without phone (in 1990, this was rare!) (numeric - decimal)"
"84","PctWOFullPlumb"," percent of housing without complete plumbing facilities (numeric - decimal)"
"85","OwnOccLowQuart"," owner occupied housing - lower quartile value (numeric - decimal)"
"86","OwnOccMedVal"," owner occupied housing - median value (numeric - decimal)"
"87","OwnOccHiQuart"," owner occupied housing - upper quartile value (numeric - decimal)"
"88","OwnOccQrange"," owner occupied housing - difference between upper quartile and lower quartile values (numeric - decimal)"
"89","RentLowQ"," rental housing - lower quartile rent (numeric - decimal)"
"90","RentMedian"," rental housing - median rent (Census variable H32B from file STF1A) (numeric - decimal)"
"91","RentHighQ"," rental housing - upper quartile rent (numeric - decimal)"
"92","RentQrange"," rental housing - difference between upper quartile and lower quartile rent (numeric - decimal)"
"93","MedRent"," median gross rent (Census variable H43A from file STF3A - includes utilities) (numeric - decimal)"
"94","MedRentPctHousInc"," median gross rent as a percentage of household income (numeric - decimal)"
"95","MedOwnCostPctInc"," median owners cost as a percentage of household income - for owners with a mortgage (numeric - decimal)"
"96","MedOwnCostPctIncNoMtg"," median owners cost as a percentage of household income - for owners without a mortgage (numeric - decimal)"
"97","NumInShelters"," number of people in homeless shelters (numeric - expected to be integer)"
"98","NumStreet"," number of homeless people counted in the street (numeric - expected to be integer)"
"99","PctForeignBorn"," percent of people foreign born (numeric - decimal)"
"100","PctBornSameState"," percent of people born in the same state as currently living (numeric - decimal)"
"101","PctSameHouse85"," percent of people living in the same house as in 1985 (5 years before) (numeric - decimal)"
"102","PctSameCity85"," percent of people living in the same city as in 1985 (5 years before) (numeric - decimal)"
"103","PctSameState85"," percent of people living in the same state as in 1985 (5 years before) (numeric - decimal)"
"104","LemasSwornFT"," number of sworn full time police officers (numeric - expected to be integer)"
"105","LemasSwFTPerPop"," sworn full time police officers per 100K population (numeric - decimal)"
"106","LemasSwFTFieldOps"," number of sworn full time police officers in field operations (on the street as opposed to administrative etc) (numeric - expected to be integer)"
"107","LemasSwFTFieldPerPop"," sworn full time police officers in field operations (on the street as opposed to administrative etc) per 100K population (numeric - decimal)"
"108","LemasTotalReq"," total requests for police (numeric - expected to be integer)"
"109","LemasTotReqPerPop"," total requests for police per 100K popuation (numeric - decimal)"
"110","PolicReqPerOffic"," total requests for police per police officer (numeric - decimal)"
"111","PolicPerPop"," police officers per 100K population (numeric - decimal)"
"112","RacialMatchCommPol"," a measure of the racial match between the community and the police force. High values indicate proportions in community and police force are similar (numeric - decimal)"
"113","PctPolicWhite"," percent of police that are caucasian (numeric - decimal)"
"114","PctPolicBlack"," percent of police that are african american (numeric - decimal)"
"115","PctPolicHisp"," percent of police that are hispanic (numeric - decimal)"
"116","PctPolicAsian"," percent of police that are asian (numeric - decimal)"
"117","PctPolicMinor"," percent of police that are minority of any kind (numeric - decimal)"
"118","OfficAssgnDrugUnits"," number of officers assigned to special drug units (numeric - expected to be integer)"
"119","NumKindsDrugsSeiz"," number of different kinds of drugs seized (numeric - expected to be integer)"
"120","PolicAveOTWorked"," police average overtime worked (numeric - decimal)"
"121","LandArea"," land area in square miles (numeric - decimal)"
"122","PopDens"," population density in persons per square mile (numeric - decimal)"
"123","PctUsePubTrans"," percent of people using public transit for commuting (numeric - decimal)"
"124","PolicCars"," number of police cars (numeric - expected to be integer)"
"125","PolicOperBudg"," police operating budget (numeric - may be integer)"
"126","LemasPctPolicOnPatr"," percent of sworn full time police officers on patrol (numeric - decimal)"
"127","LemasGangUnitDeploy"," gang unit deployed (numeric - integer - but really nominal - 0 means NO, 10 means YES, 5 means Part Time)"
"128","LemasPctOfficDrugUn"," percent of officers assigned to drug units (numeric - decimal)"
"129","PolicBudgPerPop"," police operating budget per population (numeric - decimal)"
"130","murders"," number of murders in 1995 (numeric - expected to be integer) potential GOAL attribute (to be predicted)"
"131","murdPerPop"," number of murders per 100K population (numeric - decimal) potential GOAL attribute (to be predicted)"
"132","rapes"," number of rapes in 1995 (numeric - expected to be integer) potential GOAL attribute (to be predicted)"
"133","rapesPerPop"," number of rapes per 100K population (numeric - decimal) potential GOAL attribute (to be predicted)"
"134","robberies"," number of robberies in 1995 (numeric - expected to be integer) potential GOAL attribute (to be predicted)"
"135","robbbPerPop"," number of robberies per 100K population (numeric - decimal) potential GOAL attribute (to be predicted)"
"136","assaults"," number of assaults in 1995 (numeric - expected to be integer) potential GOAL attribute (to be predicted)"
"137","assaultPerPop"," number of assaults per 100K population (numeric - decimal) potential GOAL attribute (to be predicted)"
"138","burglaries"," number of burglaries in 1995 (numeric - expected to be integer) potential GOAL attribute (to be predicted)"
"139","burglPerPop"," number of burglaries per 100K population (numeric - decimal) potential GOAL attribute (to be predicted)"
"140","larcenies"," number of larcenies in 1995 (numeric - expected to be integer) potential GOAL attribute (to be predicted)"
"141","larcPerPop"," number of larcenies per 100K population (numeric - decimal) potential GOAL attribute (to be predicted)"
"142","autoTheft"," number of auto thefts in 1995 (numeric - expected to be integer) potential GOAL attribute (to be predicted)"
"143","autoTheftPerPop"," number of auto thefts per 100K population (numeric - decimal) potential GOAL attribute (to be predicted)"
"144","arsons"," number of arsons in 1995 (numeric - expected to be integer) potential GOAL attribute (to be predicted)"
"145","arsonsPerPop"," number of arsons per 100K population (numeric - decimal) potential GOAL attribute (to be predicted)"
"146","ViolentCrimesPerPop"," total number of violent crimes per 100K popuation (numeric - decimal) GOAL attribute (to be predicted)"
"147","nonViolPerPop"," total number of non-violent crimes per 100K popuation (numeric - decimal) potential GOAL attribute (to be predicted)"
